# Synthetic records generated for this project from a fixed seed. Not real customers, orders, sellers or photographs.
customer_id,email,phone,country,account_opened,orders_count,returns_count,prior_disputes,prior_disputes_upheld
CUST-0001,sample.person1@example.invalid,+15551000137,DE,2024-08-23,28,1,2,0
CUST-0002,sample.person2@example.invalid,+15551000274,CA,2025-08-17,10,1,0,0
CUST-0003,sample.person3@example.invalid,+15551000411,GB,2022-06-10,24,4,0,0
CUST-0004,sample.person4@example.invalid,+15551000548,CA,2020-07-03,12,0,0,0
CUST-0005,sample.person5@example.invalid,+15551000685,GB,2025-01-08,8,0,0,0
CUST-0006,sample.person6@example.invalid,+15551000822,US,2025-01-27,22,5,0,0
CUST-0007,sample.person7@example.invalid,+15551000959,CA,2024-02-02,14,1,0,0
CUST-0008,sample.person8@example.invalid,+15551001096,GB,2024-09-15,18,2,0,0
CUST-0009,sample.person9@example.invalid,+15551001233,AU,2024-09-19,8,1,1,0
CUST-0010,sample.person10@example.invalid,+15551001370,DE,2023-11-18,9,1,2,0
CUST-0011,sample.person11@example.invalid,+15551001507,AU,2022-04-21,18,2,2,0
CUST-0012,sample.person12@example.invalid,+15551001644,AU,2022-06-25,14,3,0,0
CUST-0013,sample.person13@example.invalid,+15551001781,CA,2021-11-14,20,5,1,0
CUST-0014,sample.person14@example.invalid,+15551001918,CA,2020-07-06,20,1,0,0
CUST-0015,sample.person15@example.invalid,+15551002055,GB,2023-03-25,26,5,0,0
CUST-0016,sample.person16@example.invalid,+15551002192,DE,2020-09-07,6,1,1,0
CUST-0017,sample.person17@example.invalid,+15551002329,AU,2023-02-06,2,1,1,0
CUST-0018,sample.person18@example.invalid,+15551002466,GB,2022-11-30,15,1,0,0
CUST-0019,sample.person19@example.invalid,+15551002603,GB,2025-03-08,9,2,0,0
CUST-0020,sample.person20@example.invalid,+15551002740,GB,2021-05-19,27,3,1,1
CUST-0021,sample.person21@example.invalid,+15551002877,CA,2025-01-07,18,0,1,1
CUST-0022,sample.person22@example.invalid,+15551003014,US,2022-12-09,25,4,1,1
CUST-0023,sample.person23@example.invalid,+15551003151,GB,2025-02-15,15,0,0,0
CUST-0024,sample.person24@example.invalid,+15551003288,CA,2022-10-19,24,3,2,0
CUST-0025,sample.person25@example.invalid,+15551003425,DE,2021-12-25,11,3,1,0
CUST-0026,sample.person26@example.invalid,+15551003562,US,2021-01-23,30,4,0,0
CUST-0027,sample.person27@example.invalid,+15551003699,GB,2021-08-08,5,2,0,0
CUST-0028,sample.person28@example.invalid,+15551003836,DE,2021-08-17,4,1,2,1
CUST-0029,sample.person29@example.invalid,+15551003973,CA,2022-09-07,17,1,0,0
CUST-0030,sample.person30@example.invalid,+15551004110,GB,2025-12-03,26,1,0,0
CUST-0031,sample.person31@example.invalid,+15551004247,AU,2026-03-23,6,3,2,2
CUST-0032,sample.person32@example.invalid,+15551004384,GB,2021-10-10,12,0,1,0
CUST-0033,sample.person33@example.invalid,+15551004521,CA,2024-10-16,6,0,0,0
CUST-0034,sample.person34@example.invalid,+15551004658,AU,2022-11-13,23,3,1,1
CUST-0035,sample.person35@example.invalid,+15551004795,AU,2020-06-06,10,1,0,0
CUST-0036,sample.person36@example.invalid,+15551004932,GB,2021-04-15,17,0,1,0
CUST-0037,sample.person37@example.invalid,+15551005069,CA,2020-08-05,15,1,0,0
CUST-0038,sample.person38@example.invalid,+15551005206,AU,2024-02-09,10,0,1,0
CUST-0039,sample.person39@example.invalid,+15551005343,CA,2024-05-24,4,0,1,0
CUST-0040,sample.person40@example.invalid,+15551005480,CA,2022-11-29,4,2,0,0
CUST-0041,sample.person41@example.invalid,+15551005617,GB,2022-03-29,3,0,1,0
CUST-0042,sample.person42@example.invalid,+15551005754,US,2020-05-29,9,2,0,0
CUST-0043,sample.person43@example.invalid,+15551005891,AU,2025-08-16,5,4,1,0
CUST-0044,sample.person44@example.invalid,+15551006028,AU,2024-01-18,30,3,0,0
CUST-0045,sample.person45@example.invalid,+15551006165,GB,2021-03-29,1,1,0,0
CUST-0046,sample.person46@example.invalid,+15551006302,DE,2023-04-13,27,0,2,1
CUST-0047,sample.person47@example.invalid,+15551006439,CA,2023-08-14,12,0,0,0
CUST-0048,sample.person48@example.invalid,+15551006576,CA,2024-11-06,28,4,1,1
CUST-0049,sample.person49@example.invalid,+15551006713,GB,2020-12-08,9,1,0,0
CUST-0050,sample.person50@example.invalid,+15551006850,GB,2022-08-07,29,4,2,0
CUST-0051,sample.person51@example.invalid,+15551006987,GB,2025-08-01,28,2,0,0
CUST-0052,sample.person52@example.invalid,+15551007124,GB,2023-10-26,18,2,0,0
CUST-0053,sample.person53@example.invalid,+15551007261,CA,2021-08-04,9,0,2,0
CUST-0054,sample.person54@example.invalid,+15551007398,CA,2020-07-13,29,3,1,0
CUST-0055,sample.person55@example.invalid,+15551007535,CA,2022-10-21,24,3,0,0
CUST-0056,sample.person56@example.invalid,+15551007672,CA,2022-05-02,23,4,2,0
CUST-0057,sample.person57@example.invalid,+15551007809,CA,2024-12-26,21,1,1,1
CUST-0058,sample.person58@example.invalid,+15551007946,GB,2025-02-26,21,2,2,0
CUST-0059,sample.person59@example.invalid,+15551008083,DE,2021-10-29,10,0,0,0
CUST-0060,sample.person60@example.invalid,+15551008220,DE,2024-04-26,22,1,0,0
