# Synthetic records generated for this project from a fixed seed. Not real customers, orders, sellers or photographs.
order_id,customer_id,order_date,expected_delivery,delivery_date,delivery_status,category,item_name,quantity,value_usd,currency,carrier,tracking_number,shipping_address,billing_matches_shipping,card_last4,avs_result,cvv_result,three_ds,ip_match_prior_orders,device_match_prior_orders,delivery_confirmation,terms_accepted,refund_issued_usd
ORD-100000,CUST-0004,2026-04-04,2026-04-11,2026-04-11,delivered,apparel,running jacket,1,327.68,USD,Vantage Courier,TRK7408550519,"5 Sample Street, Testville, CA",no,0803,partial_match,not_provided,attempted,no,yes,photo,yes,0.00
ORD-100001,CUST-0015,2026-03-15,2026-03-24,2026-03-24,delivered,books,cookbook,1,449.95,USD,Northbound Post,TRK1260010383,"160 Sample Street, Testville, GB",no,1304,full_match,match,authenticated,yes,yes,signature,yes,0.00
ORD-100002,CUST-0032,2026-01-01,2026-01-03,2026-01-03,delivered,large_appliance,chest freezer,3,142.37,USD,Vantage Courier,TRK8929367523,"352 Sample Street, Testville, GB",no,7398,full_match,not_provided,not_used,yes,no,photo,yes,0.00
ORD-100003,CUST-0015,2026-02-23,2026-02-25,2026-02-25,delivered,electronics,wireless headphones,3,342.57,USD,Harbour Freight Co,TRK2157200387,"259 Sample Street, Testville, GB",yes,8702,full_match,match,attempted,yes,yes,photo,yes,0.00
ORD-100004,CUST-0008,2026-03-08,2026-03-12,2026-03-12,delivered,grocery,tea sampler,3,687.67,USD,Harbour Freight Co,TRK5386942477,"340 Sample Street, Testville, GB",yes,8147,full_match,not_provided,not_used,no,no,photo,yes,0.00
ORD-100005,CUST-0031,2026-01-15,2026-01-18,2026-01-18,delivered,custom_made,custom desk mat,3,238.68,USD,Harbour Freight Co,TRK3852072240,"397 Sample Street, Testville, AU",yes,1165,no_match,match,not_used,yes,yes,signature,yes,0.00
ORD-100006,CUST-0053,2026-03-12,2026-03-18,2026-03-18,delivered,apparel,linen trousers,1,310.41,USD,Harbour Freight Co,TRK3277080832,"151 Sample Street, Testville, CA",yes,4964,full_match,match,attempted,yes,yes,signature,yes,0.00
ORD-100007,CUST-0040,2026-03-06,2026-03-10,2026-03-10,delivered,personal_care,skincare set,1,36.04,USD,Vantage Courier,TRK7574128091,"54 Sample Street, Testville, CA",no,3525,partial_match,match,authenticated,no,no,photo,yes,0.00
ORD-100008,CUST-0026,2026-02-02,2026-02-11,2026-02-11,delivered,perishable,bakery hamper,1,300.77,USD,Vantage Courier,TRK8335160159,"330 Sample Street, Testville, US",yes,4915,full_match,match,attempted,yes,yes,photo,yes,0.00
ORD-100009,CUST-0033,2026-01-23,2026-01-28,2026-01-28,delivered,apparel,running jacket,1,249.21,USD,Harbour Freight Co,TRK4005510900,"132 Sample Street, Testville, CA",yes,1659,full_match,match,authenticated,no,yes,photo,yes,0.00
ORD-100010,CUST-0055,2026-01-14,2026-01-16,2026-01-16,delivered,electronics,wireless headphones,3,491.11,USD,Northbound Post,TRK9633465361,"333 Sample Street, Testville, CA",no,2889,full_match,match,authenticated,yes,yes,signature,yes,0.00
ORD-100011,CUST-0023,2026-01-26,2026-02-04,2026-02-04,delivered,gift_card,gift card 50,2,228.46,USD,Northbound Post,TRK8204035891,"36 Sample Street, Testville, GB",no,8476,full_match,match,not_used,yes,yes,signature,yes,0.00
ORD-100012,CUST-0042,2025-12-25,2026-01-01,2026-01-01,delivered,books,field guide,1,263.26,USD,Northbound Post,TRK8498456222,"260 Sample Street, Testville, US",yes,4406,no_match,match,authenticated,yes,yes,photo,yes,0.00
ORD-100013,CUST-0029,2026-02-28,2026-03-02,2026-03-02,delivered,gift_card,gift card 50,2,30.22,USD,Vantage Courier,TRK4975640313,"38 Sample Street, Testville, CA",yes,1050,full_match,match,attempted,no,yes,signature,yes,0.00
ORD-100014,CUST-0039,2025-12-31,2026-01-07,2026-01-07,delivered,custom_made,custom desk mat,1,47.33,USD,Harbour Freight Co,TRK5725568505,"283 Sample Street, Testville, CA",yes,0951,full_match,not_provided,not_used,no,yes,photo,yes,0.00
ORD-100015,CUST-0039,2026-04-08,2026-04-13,2026-04-13,delivered,personal_care,electric shaver,2,128.34,USD,Vantage Courier,TRK4653109898,"205 Sample Street, Testville, CA",yes,3713,partial_match,match,authenticated,no,yes,photo,yes,0.00
ORD-100016,CUST-0048,2025-12-31,2026-01-07,2026-01-07,delivered,custom_made,engraved tankard,2,233.86,USD,Vantage Courier,TRK9968153030,"234 Sample Street, Testville, CA",yes,6294,full_match,not_provided,not_used,yes,no,signature,yes,0.00
ORD-100017,CUST-0036,2026-03-05,2026-03-09,2026-03-09,delivered,gift_card,gift card 10,1,48.62,USD,Northbound Post,TRK8816478157,"90 Sample Street, Testville, GB",yes,0281,full_match,match,attempted,yes,yes,photo,yes,0.00
ORD-100018,CUST-0046,2026-02-07,2026-02-11,2026-02-11,delivered,perishable,cheese selection,3,250.89,USD,Vantage Courier,TRK8120958562,"9 Sample Street, Testville, DE",yes,5015,no_match,not_provided,authenticated,yes,no,signature,yes,0.00
ORD-100019,CUST-0009,2026-03-10,2026-03-12,2026-03-12,delivered,electronics,action camera,1,64.80,USD,Northbound Post,TRK3711038523,"210 Sample Street, Testville, AU",yes,2236,no_match,not_provided,not_used,no,yes,signature,yes,0.00
